,ListingID,Property_Type,Region,Locality,Price,FloorSize,SizeType,Bedrooms,Bathrooms,Furnishing,Property_Condition,Developer,Society,Longitude,Latitude,Price_PSQFT,URL
0,1841,Apartment,Chennai South,Thiruvanmiyur,33500000,2042.0,super area,3.0,3.0,Semi-Furnished,Resale,,,0.0,0.0,16405.484819999998,https://www.magicbricks.com/propertyDetails/3-BHK-2042-Sq-ft-Multistorey-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423433333932333335
1,1570,Builder Floor Apartment,Chennai South,Thiruvanmiyur,24500000,1510.0,super area,3.0,3.0,Furnished,Resale,,,0.0,0.0,16225.16556,https://www.magicbricks.com/propertyDetails/3-BHK-1510-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423438313538363233
2,525,Apartment,Chennai South,Thiruvanmiyur,20000000,1248.0,super area,2.0,3.0,Semi-Furnished,Resale,,Seashore Apartments,12.9844177,80.26764890000001,16025.64103,https://www.magicbricks.com/propertyDetails/2-BHK-1248-Sq-ft-Multistorey-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423431393039383733
3,2093,Apartment,Chennai South,Kottivakkam,18000000,1210.0,super area,2.0,2.0,Semi-Furnished,Resale,,,12.97559834,80.26023865,14876.03306,https://www.magicbricks.com/propertyDetails/2-BHK-1210-Sq-ft-Multistorey-Apartment-FOR-Sale-Valmiki-Nagar-in-Chennai&id=4d423437353632363837
4,34,Apartment,Chennai South,Thiruvanmiyur,21925000,1500.0,super area,3.0,3.0,Unfurnished,New Property,Green Valleys Shelters Pvt. Ltd.,GVSPL Mahameru,0.0,0.0,14616.666669999999,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423438353432323533
5,1166,Apartment,Chennai South,Kottivakkam,48502500,3345.0,super area,4.0,4.0,Unfurnished,New Property,,,0.0,0.0,14500.0,https://www.magicbricks.com/propertyDetails/4-BHK-3345-Sq-ft-Multistorey-Apartment-FOR-Sale-Valmiki-Nagar-in-Chennai&id=4d423438313337393739
6,478,Apartment,Chennai South,Kottivakkam,45000000,2400.0,carpet area,3.0,3.0,Furnished,Resale,,,12.97559834,80.26023865,14204.54545,https://www.magicbricks.com/propertyDetails/3-BHK-2900-Sq-ft-Multistorey-Apartment-FOR-Sale-Valmiki-Nagar-in-Chennai-r1&id=4d423434393732383337
7,1541,Apartment,Chennai South,Sholinganallur,5200000,284.0,carpet area,1.0,1.0,Unfurnished,Resale,,,12.89997768,80.22729492,13871.105419999998,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423437323934303635
8,428,Builder Floor Apartment,Chennai South,Thiruvanmiyur,19000000,1383.0,super area,3.0,3.0,Semi-Furnished,New Property,,,12.98655796,80.25553131,13738.250180000001,https://www.magicbricks.com/propertyDetails/3-BHK-1383-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423438363834353235
9,618,Apartment,Chennai South,Thiruvanmiyur,47500000,3520.0,super area,5.0,4.0,Semi-Furnished,Resale,,,0.0,0.0,13494.318180000002,https://www.magicbricks.com/propertyDetails/5-BHK-3520-Sq-ft-Multistorey-Apartment-FOR-Sale-Thiruvanmiyur-in-Chennai&id=4d423436353739313733
